【包邮出】西瓜气泡水lolita 有点巧op s码 裙子+胸口蝴蝶结+拖尾蝴蝶结+裙摆蝴蝶结(无围裙) 第一次洗泡了太久有染色 腰部有刮蹭，有战损飞机盒，吊尸需要找找 可私信给实物图  ,218   ,link: ,https://www.goofish.com/item?id=909129036404&categoryId=201509401
【出】Lolita洛丽塔Bramble Rose荆棘玫瑰原创 设计 Little rose小玫瑰jsk，有手袖有发带 m码，拍下不退不换。 穿过两次  ,220   ,link: ,https://www.goofish.com/item?id=908570757765&categoryId=201509401
夏时蝶lolita 仲夏夜julynight 米色原版s码单裙子穿1飞机盒衣架质检报告那些都在三句话内包邮包手续费不急出不刀 刀不回  ,328   ,link: ,https://www.goofish.com/item?id=909942436622&categoryId=126860305
埃特勒塔 在草莓种植园里野餐 红色jsk，s码，背后是扣子款 ，有两款腰带，应该有吊尸要找找，标价包邮直出，拍下可以看实物视频  ,210   ,link: ,https://www.goofish.com/item?id=909293058528&categoryId=201509401
【出】原创设计 格纹百利甜lolita古早感lo裙doll感 洛丽塔jsk连衣裙吊带状态完好有边夹，无发带穿一未洗s码，非偏包邮不包sxf标价含zz无飞机盒和原袋还在完整发出次元优惠请勿直拍，下单前请联系我关掉  ,236   ,link: ,https://www.goofish.com/item?id=908254077598&categoryId=126860305
MUMU 爱丽丝 罩裙+三角围裙 米色 158打包出 仅在家中搭配试穿，清衣柜，出  ,158   ,link: ,https://www.goofish.com/item?id=909463277535&categoryId=126860305
➗韩菇凉 缔结恋羽粉色 l码 单jsk没有内搭全新仅试穿，未下水，状态很好可＋20加购发饰带发饰走包邮偏远要补邮  ,150   ,link: ,https://www.goofish.com/item?id=908892681219&categoryId=201509401
CuteQ【小海军】短袖OP日常春夏轻lolita 白×红绀 L码去海边穿过一次/穿一洗一/先看看能换到什么过生日闺蜜送的/杭州湖滨实体店购入自穿p2  ,200   ,link: ,https://www.goofish.com/item?id=909445525957&categoryId=126860581
奶油玩偶洛丽塔熊熊野餐会jsk，全新m码，正反两穿设计，超可 爱！全新仅试穿，有包装盒和吊牌，有购买记录，无瑕疵但剪了吊牌。非偏远地区姐妹可以包邮哦～退圈出，有兴趣的快来联系我吧，可以拍细节图或视频～  ,168   ,link: ,https://www.goofish.com/item?id=909933132434&categoryId=201509401
【实拍可直拍】月神物语Lolita 艾丽莎的天鹅堡 sax色 全新带吊 M码 背带 有星星罩纱 实拍可直拍 包u包sxf  ,130   ,link: ,https://www.goofish.com/item?id=907628993349&categoryId=201509401
星授天使 小黄油家的穿过两次 也可查购买记录绶带有 在家 裙子在学校 拍下送一个美乐蒂的背包 （全新）➕jk一条s码  ,150   ,link: ,https://www.goofish.com/item?id=817425599510&categoryId=201509401
古董星愿温蒂的衣橱Lolita，定金S码低腰OP+直筒接袖+ 绶带set  ,151   ,link: ,https://www.goofish.com/item?id=908931899629&categoryId=126860305
lizlisa洗澡兔子花柄裙 有吊尸 前娘穿一洗一 我沒穿借tag 地偶界隈 原创地雷系量产型蝴蝶结半裙 日系亚文化蕾丝百褶裙 地雷系 量产型 水色 原宿 dimmoire ilili イルイルイル reflem travas tokyo LIZLISA secrethoney ank rouge noemie chloma rojita kryclothing mars anonenone 彗色予報 天使界隈 梦展望Mars secret honey rojita Avril ankrouge evelyn honey cinnamon lizlisa jamie noemie bubbles eatme amavel acdcrag sc套装  ,250   ,link: ,https://www.goofish.com/item?id=909071402677&categoryId=126860305
韩菇凉洛丽塔【宝石之冕】韩菇凉~原创设计Lolita洋装do ll感jsk吊带连衣裙夏季，等到货试一出，单jsK  ,210   ,link: ,https://www.goofish.com/item?id=908249195732&categoryId=201509401
